model,scenario,success_rate,p99_latency,stability_score,adaptation_time,predictive_mae,tracking_lag_seconds
LSTM,gradual,0.49333333333333335,255.17893323544195,0.38266666666666665,,1993.8960628137943,
LSTM,normal,0.5745,185.95760813494493,0.03811111111111111,,407.95677831325446,
LSTM,periodic,0.4445,235.75787816871258,0.03966666666666667,,1056.258531888093,
LSTM,spike,0.5972972972972973,243.89741579427996,0.35297297297297303,89.6,1703.2189544635519,
LinUCB,gradual,0.45466666666666666,255.17893323544195,0.292,,,116.0
LinUCB,normal,0.6096111111111111,185.95760813494493,0.0005555555555555556,,,1800.0
LinUCB,periodic,0.4727222222222222,235.75787816871258,0.0008888888888888889,,,1800.0
LinUCB,spike,0.6048648648648649,243.89741579427996,0.3540540540540541,89.4,,90.0
Static,gradual,0.4633333333333334,255.17893323544195,0.2966666666666667,,,
Static,normal,0.6342777777777778,185.95760813494493,0.0008333333333333333,,,
Static,periodic,0.4911666666666667,235.75787816871258,0.0008888888888888889,,,
Static,spike,0.6086486486486486,243.89741579427996,0.3540540540540541,89.4,,
